Log Started on 10-Mar-2018

Adding Noise
Optimizing for pentagon_speckle_and_gauss_markov_high_optimal
Running polya filter for radius = 1, bins = 32, delta = 20.
Initial MSE: 2859.1724
Iteration 9 of 50 | Duration = 2.599 | MSE = 1379.5789
Iteration 10 of 50 | Duration = 2.603 | MSE = 1376.1937
Iteration 11 of 50 | Duration = 2.654 | MSE = 1366.6980
Iteration 12 of 50 | Duration = 2.571 | MSE = 1360.1522
Iteration 13 of 50 | Duration = 2.649 | MSE = 1351.2498
Iteration 14 of 50 | Duration = 2.634 | MSE = 1338.8921
Iteration 15 of 50 | Duration = 2.625 | MSE = 1320.9710
Iteration 16 of 50 | Duration = 2.764 | MSE = 1318.8074
Iteration 17 of 50 | Duration = 2.685 | MSE = 1317.0930
Iteration 18 of 50 | Duration = 2.706 | MSE = 1315.4216
Iteration 19 of 50 | Duration = 2.749 | MSE = 1313.7052
Iteration 20 of 50 | Duration = 2.667 | MSE = 1312.8790
Iteration 21 of 50 | Duration = 2.553 | MSE = 1312.0611
Iteration 22 of 50 | Duration = 2.561 | MSE = 1310.7891
Iteration 23 of 50 | Duration = 2.577 | MSE = 1306.7178
Iteration 24 of 50 | Duration = 2.557 | MSE = 1303.7501
Iteration 25 of 50 | Duration = 2.582 | MSE = 1302.6392
Iteration 26 of 50 | Duration = 2.603 | MSE = 1301.1525
Iteration 27 of 50 | Duration = 2.652 | MSE = 1298.1343
Iteration 28 of 50 | Duration = 2.759 | MSE = 1295.3528
Iteration 29 of 50 | Duration = 2.732 | MSE = 1291.9551
Iteration 30 of 50 | Duration = 2.750 | MSE = 1285.5117
Iteration 31 of 50 | Duration = 2.734 | MSE = 1276.0369
Iteration 32 of 50 | Duration = 2.597 | MSE = 1274.8147
Iteration 33 of 50 | Duration = 2.556 | MSE = 1274.2656
Iteration 34 of 50 | Duration = 2.555 | MSE = 1273.5459
Iteration 35 of 50 | Duration = 2.553 | MSE = 1272.9041
Iteration 36 of 50 | Duration = 2.561 | MSE = 1272.3525
Iteration 37 of 50 | Duration = 2.583 | MSE = 1272.0615
New optimal MSE: 1272.0615

Running polya filter for radius = 1, bins = 32, delta = 180.
Initial MSE: 2859.1724
Iteration 1 of 50 | Duration = 3.332 | MSE = 1808.3350
Iteration 2 of 50 | Duration = 3.358 | MSE = 1687.6691
Iteration 3 of 50 | Duration = 2.697 | MSE = 1512.8835
Iteration 4 of 50 | Duration = 2.743 | MSE = 1491.2490
Iteration 5 of 50 | Duration = 2.880 | MSE = 1463.1858
Iteration 6 of 50 | Duration = 2.834 | MSE = 1429.4634
Iteration 7 of 50 | Duration = 2.689 | MSE = 1390.0280
Iteration 8 of 50 | Duration = 2.656 | MSE = 1384.2239
Iteration 9 of 50 | Duration = 2.612 | MSE = 1379.5224
Iteration 10 of 50 | Duration = 2.565 | MSE = 1376.1450
Iteration 11 of 50 | Duration = 2.626 | MSE = 1366.6496
Iteration 12 of 50 | Duration = 2.593 | MSE = 1360.1266
Iteration 13 of 50 | Duration = 2.678 | MSE = 1351.2199
Iteration 14 of 50 | Duration = 2.662 | MSE = 1338.8650
Iteration 15 of 50 | Duration = 2.591 | MSE = 1320.9538
Iteration 16 of 50 | Duration = 2.659 | MSE = 1318.7818
Iteration 17 of 50 | Duration = 2.739 | MSE = 1317.0430
Iteration 18 of 50 | Duration = 2.733 | MSE = 1315.3797
Iteration 19 of 50 | Duration = 2.699 | MSE = 1313.6663
Iteration 20 of 50 | Duration = 2.702 | MSE = 1312.8513
Iteration 21 of 50 | Duration = 2.565 | MSE = 1312.0382
Iteration 22 of 50 | Duration = 2.555 | MSE = 1310.7625
Iteration 23 of 50 | Duration = 2.616 | MSE = 1306.6871
Iteration 24 of 50 | Duration = 2.565 | MSE = 1303.7175
Iteration 25 of 50 | Duration = 2.547 | MSE = 1302.6119
Iteration 26 of 50 | Duration = 2.575 | MSE = 1301.1269
Iteration 27 of 50 | Duration = 2.602 | MSE = 1298.1150
Iteration 28 of 50 | Duration = 2.623 | MSE = 1295.3348
Iteration 29 of 50 | Duration = 2.814 | MSE = 1291.9372
Iteration 30 of 50 | Duration = 2.839 | MSE = 1285.4951
