Log Started on 09-Mar-2018

Adding Noise
Optimizing for pentagon_speckle_high_optimal
Running polya filter for radius = 1, bins = 32, delta = 20.
Initial MSE: 2829.6254
Iteration 25 of 50 | Duration = 4.644 | MSE = 733.3404
Iteration 26 of 50 | Duration = 4.434 | MSE = 732.1539
Iteration 27 of 50 | Duration = 4.553 | MSE = 731.4037
Iteration 28 of 50 | Duration = 4.565 | MSE = 730.1473
Iteration 29 of 50 | Duration = 4.871 | MSE = 729.2996
Iteration 30 of 50 | Duration = 4.884 | MSE = 728.1196
Iteration 31 of 50 | Duration = 4.240 | MSE = 727.8692

Running polya filter for radius = 1, bins = 64, delta = 80.
Initial MSE: 2829.6254
Iteration 1 of 50 | Duration = 5.761 | MSE = 2813.2101
Iteration 2 of 50 | Duration = 4.499 | MSE = 1518.3237
Iteration 3 of 50 | Duration = 4.485 | MSE = 1255.7709
Iteration 4 of 50 | Duration = 4.863 | MSE = 954.1143
Iteration 5 of 50 | Duration = 4.828 | MSE = 872.4784
Iteration 6 of 50 | Duration = 4.974 | MSE = 824.3961
Iteration 7 of 50 | Duration = 5.179 | MSE = 806.9553
Iteration 8 of 50 | Duration = 4.364 | MSE = 793.9496
Iteration 9 of 50 | Duration = 4.087 | MSE = 786.4867
Iteration 10 of 50 | Duration = 4.130 | MSE = 774.6323
Iteration 11 of 50 | Duration = 4.595 | MSE = 768.7725
Iteration 12 of 50 | Duration = 5.479 | MSE = 759.0781
Iteration 13 of 50 | Duration = 4.916 | MSE = 754.0118
Iteration 14 of 50 | Duration = 4.540 | MSE = 746.9572
Iteration 15 of 50 | Duration = 4.111 | MSE = 744.9353
Iteration 16 of 50 | Duration = 4.408 | MSE = 742.1316
Iteration 17 of 50 | Duration = 4.792 | MSE = 740.4794
Iteration 18 of 50 | Duration = 4.722 | MSE = 738.2620
Iteration 19 of 50 | Duration = 4.299 | MSE = 737.3490
Iteration 20 of 50 | Duration = 4.416 | MSE = 735.4582
Iteration 21 of 50 | Duration = 5.070 | MSE = 734.3701
Iteration 22 of 50 | Duration = 5.511 | MSE = 732.4068
Iteration 23 of 50 | Duration = 4.813 | MSE = 731.6621
Iteration 24 of 50 | Duration = 4.185 | MSE = 730.9052
Iteration 25 of 50 | Duration = 4.165 | MSE = 730.4269

Running polya filter for radius = 1, bins = 64, delta = 100.
Initial MSE: 2829.6254
Iteration 1 of 50 | Duration = 9.424 | MSE = 1390.6179
Iteration 2 of 50 | Duration = 6.046 | MSE = 1086.6941
Iteration 3 of 50 | Duration = 5.128 | MSE = 953.4911
Iteration 4 of 50 | Duration = 4.533 | MSE = 885.2879
Iteration 5 of 50 | Duration = 4.806 | MSE = 837.7037
Iteration 6 of 50 | Duration = 4.856 | MSE = 811.9471
Iteration 7 of 50 | Duration = 4.747 | MSE = 798.7800
