Log Started on 10-Mar-2018

Adding Noise
Optimizing for lena512_speckle_and_gauss_markov_high_optimal
Running polya filter for radius = 1, bins = 32, delta = 20.
Initial MSE: 2648.9759
Iteration 1 of 50 | Duration = 1.206 | MSE = 1739.7032
Iteration 2 of 50 | Duration = 1.349 | MSE = 1640.3136
Iteration 3 of 50 | Duration = 0.991 | MSE = 1478.6242
Iteration 4 of 50 | Duration = 1.048 | MSE = 1460.4198
Iteration 5 of 50 | Duration = 1.121 | MSE = 1435.2532
Iteration 6 of 50 | Duration = 1.009 | MSE = 1403.9629
Iteration 7 of 50 | Duration = 1.002 | MSE = 1362.7703
Iteration 8 of 50 | Duration = 1.014 | MSE = 1358.0306
Iteration 9 of 50 | Duration = 1.036 | MSE = 1353.9082
Iteration 10 of 50 | Duration = 0.963 | MSE = 1351.5410
Iteration 11 of 50 | Duration = 1.081 | MSE = 1341.9766
Iteration 12 of 50 | Duration = 0.950 | MSE = 1335.3089
Iteration 13 of 50 | Duration = 1.014 | MSE = 1326.2477
Iteration 14 of 50 | Duration = 1.062 | MSE = 1314.5830
Iteration 15 of 50 | Duration = 1.012 | MSE = 1295.6864
Iteration 16 of 50 | Duration = 0.960 | MSE = 1293.9113
Iteration 17 of 50 | Duration = 1.055 | MSE = 1292.2534
Iteration 18 of 50 | Duration = 0.976 | MSE = 1291.0913
Iteration 19 of 50 | Duration = 0.970 | MSE = 1289.5969
Iteration 20 of 50 | Duration = 1.055 | MSE = 1289.0125
Iteration 21 of 50 | Duration = 0.938 | MSE = 1288.1486
Iteration 22 of 50 | Duration = 1.005 | MSE = 1287.1821
Iteration 23 of 50 | Duration = 0.991 | MSE = 1283.0836
Iteration 24 of 50 | Duration = 1.020 | MSE = 1279.8446
Iteration 25 of 50 | Duration = 0.971 | MSE = 1278.9019
Iteration 26 of 50 | Duration = 1.094 | MSE = 1277.5798
Iteration 27 of 50 | Duration = 0.943 | MSE = 1274.3673
Iteration 28 of 50 | Duration = 1.038 | MSE = 1271.5255
Iteration 29 of 50 | Duration = 0.966 | MSE = 1268.4107
Iteration 30 of 50 | Duration = 0.963 | MSE = 1262.1940
Iteration 31 of 50 | Duration = 0.979 | MSE = 1251.2612
Iteration 32 of 50 | Duration = 1.014 | MSE = 1250.3228
Iteration 33 of 50 | Duration = 0.967 | MSE = 1249.7544
Iteration 34 of 50 | Duration = 0.968 | MSE = 1249.3238
New optimal MSE: 1249.3238

Running polya filter for radius = 1, bins = 64, delta = 20.
Initial MSE: 2648.9759
Iteration 1 of 50 | Duration = 2.575 | MSE = 2640.7266
Iteration 2 of 50 | Duration = 2.189 | MSE = 2640.7266
Iteration 3 of 50 | Duration = 2.331 | MSE = 2640.7266

Running polya filter for radius = 1, bins = 64, delta = 40.
Initial MSE: 2648.9759
Iteration 1 of 50 | Duration = 2.329 | MSE = 2640.7266
Iteration 2 of 50 | Duration = 2.024 | MSE = 2640.7266
Iteration 3 of 50 | Duration = 1.833 | MSE = 1786.3606
Iteration 4 of 50 | Duration = 1.904 | MSE = 1746.2067
Iteration 5 of 50 | Duration = 1.807 | MSE = 1740.1111
Iteration 6 of 50 | Duration = 2.060 | MSE = 1607.6148
Iteration 7 of 50 | Duration = 1.956 | MSE = 1544.5825
Iteration 8 of 50 | Duration = 1.845 | MSE = 1536.3537
Iteration 9 of 50 | Duration = 1.881 | MSE = 1471.2143
Iteration 10 of 50 | Duration = 2.224 | MSE = 1469.6260
Iteration 11 of 50 | Duration = 2.055 | MSE = 1467.2166
Iteration 12 of 50 | Duration = 2.118 | MSE = 1466.2862
Iteration 13 of 50 | Duration = 2.176 | MSE = 1461.7622
Iteration 14 of 50 | Duration = 2.058 | MSE = 1451.5129
Iteration 15 of 50 | Duration = 2.122 | MSE = 1431.8534
Iteration 16 of 50 | Duration = 1.921 | MSE = 1420.6670
Iteration 17 of 50 | Duration = 1.869 | MSE = 1415.0406
Iteration 18 of 50 | Duration = 1.936 | MSE = 1398.8523
Iteration 19 of 50 | Duration = 1.870 | MSE = 1386.0433
Iteration 20 of 50 | Duration = 1.868 | MSE = 1384.5699
Iteration 21 of 50 | Duration = 1.871 | MSE = 1362.6859
Iteration 22 of 50 | Duration = 1.892 | MSE = 1361.7937
Iteration 23 of 50 | Duration = 1.916 | MSE = 1360.3832
Iteration 24 of 50 | Duration = 1.888 | MSE = 1359.2805
Iteration 25 of 50 | Duration = 1.941 | MSE = 1358.3095
Iteration 26 of 50 | Duration = 1.941 | MSE = 1356.7613
Iteration 27 of 50 | Duration = 1.770 | MSE = 1356.0237
Iteration 28 of 50 | Duration = 1.804 | MSE = 1355.4197
Iteration 29 of 50 | Duration = 2.046 | MSE = 1354.2830
Iteration 30 of 50 | Duration = 1.869 | MSE = 1352.5987
Iteration 31 of 50 | Duration = 1.769 | MSE = 1349.9680
Iteration 32 of 50 | Duration = 1.860 | MSE = 1349.1429
Iteration 33 of 50 | Duration = 1.931 | MSE = 1340.7118
Iteration 34 of 50 | Duration = 1.769 | MSE = 1334.4033
Iteration 35 of 50 | Duration = 1.745 | MSE = 1333.4535
Iteration 36 of 50 | Duration = 1.981 | MSE = 1332.9530
Iteration 37 of 50 | Duration = 1.935 | MSE = 1330.9083
Iteration 38 of 50 | Duration = 1.811 | MSE = 1329.9928
Iteration 39 of 50 | Duration = 1.838 | MSE = 1323.6491
Iteration 40 of 50 | Duration = 1.986 | MSE = 1318.9337
Iteration 41 of 50 | Duration = 1.806 | MSE = 1317.8884
Iteration 42 of 50 | Duration = 1.786 | MSE = 1311.7388
Iteration 43 of 50 | Duration = 1.904 | MSE = 1306.8755
Iteration 44 of 50 | Duration = 1.883 | MSE = 1306.1002
Iteration 45 of 50 | Duration = 1.777 | MSE = 1296.0938
Iteration 46 of 50 | Duration = 1.833 | MSE = 1295.9271

Running polya filter for radius = 1, bins = 64, delta = 60.
Initial MSE: 2648.9759
Iteration 1 of 50 | Duration = 2.283 | MSE = 2640.7266
Iteration 2 of 50 | Duration = 1.769 | MSE = 1786.3606
Iteration 3 of 50 | Duration = 1.766 | MSE = 1745.9833
Iteration 4 of 50 | Duration = 2.165 | MSE = 1603.3694
Iteration 5 of 50 | Duration = 1.836 | MSE = 1538.1129
Iteration 6 of 50 | Duration = 1.810 | MSE = 1473.3171
Iteration 7 of 50 | Duration = 1.913 | MSE = 1471.1722
Iteration 8 of 50 | Duration = 1.926 | MSE = 1466.4070
Iteration 9 of 50 | Duration = 1.739 | MSE = 1458.0287
Iteration 10 of 50 | Duration = 1.846 | MSE = 1435.1561
Iteration 11 of 50 | Duration = 1.978 | MSE = 1419.9763
Iteration 12 of 50 | Duration = 1.887 | MSE = 1399.3351
Iteration 13 of 50 | Duration = 1.807 | MSE = 1386.0114
