Log Started on 08-Mar-2018

Adding Noise
Optimizing for goldengate_speckle_and_gauss_markov_high_optimal
Running polya filter for radius = 1, bins = 32, delta = 20.
Initial MSE: 2763.9872
Iteration 5 of 50 | Duration = 0.901 | MSE = 1496.0788
Iteration 6 of 50 | Duration = 0.950 | MSE = 1460.3487
Iteration 7 of 50 | Duration = 0.843 | MSE = 1417.9801
Iteration 8 of 50 | Duration = 0.919 | MSE = 1413.4595
Iteration 9 of 50 | Duration = 0.833 | MSE = 1409.2126
Iteration 10 of 50 | Duration = 0.787 | MSE = 1406.3869
Iteration 11 of 50 | Duration = 0.838 | MSE = 1395.9641
Iteration 12 of 50 | Duration = 0.966 | MSE = 1388.3097
Iteration 13 of 50 | Duration = 0.878 | MSE = 1378.4302
Iteration 14 of 50 | Duration = 0.825 | MSE = 1364.4254
Iteration 15 of 50 | Duration = 0.828 | MSE = 1344.3875
Iteration 16 of 50 | Duration = 0.832 | MSE = 1342.6200
Iteration 17 of 50 | Duration = 0.845 | MSE = 1341.2212
Iteration 18 of 50 | Duration = 0.900 | MSE = 1339.8481
Iteration 19 of 50 | Duration = 0.924 | MSE = 1338.1522
Iteration 20 of 50 | Duration = 0.811 | MSE = 1337.3674
Iteration 21 of 50 | Duration = 0.844 | MSE = 1336.5541
Iteration 22 of 50 | Duration = 0.834 | MSE = 1335.1519
Iteration 23 of 50 | Duration = 0.808 | MSE = 1330.3864
Iteration 24 of 50 | Duration = 0.862 | MSE = 1326.6347
Iteration 25 of 50 | Duration = 0.862 | MSE = 1325.1868
Iteration 26 of 50 | Duration = 0.909 | MSE = 1323.3781
Iteration 27 of 50 | Duration = 0.829 | MSE = 1319.9088
Iteration 28 of 50 | Duration = 0.801 | MSE = 1316.6188
Iteration 29 of 50 | Duration = 0.840 | MSE = 1312.6411
Iteration 30 of 50 | Duration = 0.874 | MSE = 1305.1189
Iteration 31 of 50 | Duration = 0.857 | MSE = 1294.3671
Iteration 32 of 50 | Duration = 0.800 | MSE = 1293.2338
Iteration 33 of 50 | Duration = 0.847 | MSE = 1292.7133
Iteration 34 of 50 | Duration = 0.831 | MSE = 1292.1541
Iteration 35 of 50 | Duration = 0.857 | MSE = 1291.4804
Iteration 36 of 50 | Duration = 0.902 | MSE = 1290.9415
Iteration 37 of 50 | Duration = 0.861 | MSE = 1290.5915
New optimal MSE: 1290.5915

Running polya filter for radius = 1, bins = 32, delta = 180.
Initial MSE: 2763.9872
Iteration 1 of 50 | Duration = 0.965 | MSE = 1813.0571
Iteration 2 of 50 | Duration = 1.023 | MSE = 1711.2331
Iteration 3 of 50 | Duration = 0.853 | MSE = 1541.6288
Iteration 4 of 50 | Duration = 0.857 | MSE = 1524.0627
Iteration 5 of 50 | Duration = 0.867 | MSE = 1496.0471
Iteration 6 of 50 | Duration = 0.902 | MSE = 1460.2988
Iteration 7 of 50 | Duration = 0.817 | MSE = 1417.9388
Iteration 8 of 50 | Duration = 0.916 | MSE = 1413.4074
Iteration 9 of 50 | Duration = 0.809 | MSE = 1409.1583
Iteration 10 of 50 | Duration = 0.890 | MSE = 1406.3231
Iteration 11 of 50 | Duration = 0.896 | MSE = 1395.9154
Iteration 12 of 50 | Duration = 0.882 | MSE = 1388.2640
Iteration 13 of 50 | Duration = 0.831 | MSE = 1378.4008
Iteration 14 of 50 | Duration = 0.837 | MSE = 1364.3982
Iteration 15 of 50 | Duration = 0.879 | MSE = 1344.3631
Iteration 16 of 50 | Duration = 0.915 | MSE = 1342.5887
Iteration 17 of 50 | Duration = 0.841 | MSE = 1341.1854
